date,open,close,high,low,volume,amount,capital
2025-01-02,3.1100,2.9700,3.1100,2.9500,1179683.3700,353679.1690,774693.7986
2025-01-03,2.9300,2.8500,2.9800,2.8000,1059438.1100,306566.9950,774693.7986
2025-01-06,2.8500,3.1400,3.1400,2.8500,2258954.6900,686591.2200,774693.7986
2025-01-07,3.1700,3.4000,3.4000,3.1600,3068205.2900,1010270.6930,774693.7986
2025-01-08,3.3200,3.4000,3.4400,3.2800,2108610.9600,709428.9810,774693.7986
2025-01-09,3.3600,3.3700,3.4200,3.3200,1343159.4300,453044.0990,774693.7986
2025-01-10,3.3700,3.2300,3.4400,3.2100,1339352.1400,443849.5990,774693.7986
2025-01-13,3.2000,3.3500,3.4000,3.1800,1350954.5700,448961.6430,774693.7986
2025-01-14,3.3400,3.4800,3.5400,3.3000,1541224.1600,527952.9480,774693.7986
2025-01-15,3.4800,3.4400,3.5700,3.4200,1026879.1800,357345.7280,774693.7986
2025-01-16,3.4600,3.4900,3.6000,3.4100,1501282.1500,527071.2170,774693.7986
2025-01-17,3.4700,3.3900,3.4800,3.3400,1082188.1000,367048.9340,774693.7986
2025-01-20,3.4100,3.3500,3.4400,3.3300,1001102.7500,337779.8240,774693.7986
2025-01-21,3.3600,3.3800,3.4300,3.3300,856183.2300,289052.9740,774693.7986
2025-01-22,3.3800,3.3500,3.3900,3.2700,834986.2400,278967.4220,774693.7986
2025-01-23,3.4000,3.2800,3.4200,3.2800,935874.9500,312160.9650,774693.7986
2025-01-24,3.2800,3.2900,3.3700,3.2700,914366.2200,302732.7910,774693.7986
2025-01-27,3.3100,3.2900,3.3500,3.2100,1001711.9400,330954.0520,774693.7986
2025-02-05,3.3100,3.2600,3.3200,3.1500,956779.0200,307993.0710,774693.7986
2025-02-06,3.2400,3.2500,3.2900,3.1700,1093622.5000,351845.4930,774693.7986
2025-02-07,3.2400,3.2600,3.3200,3.2200,1204373.8000,392311.3050,774693.7986
2025-02-10,3.2700,3.3700,3.4800,3.2700,1564474.6600,529331.9100,774693.7986
2025-02-11,3.3700,3.1900,3.4000,3.1800,1482115.3200,479887.4990,774693.7986
2025-02-12,3.1900,3.1300,3.1900,3.1100,1258491.2300,395259.6370,774693.7986
2025-02-13,3.1400,3.1100,3.1900,3.1100,799719.7200,252026.4990,774693.7986
2025-02-14,3.1000,3.0900,3.1200,3.0600,838703.3500,258694.7540,774693.7986
2025-02-17,3.1100,3.1800,3.2800,3.0900,1271104.4400,406438.6870,772210.4586
2025-02-18,3.1500,3.0900,3.2200,3.0800,1063625.0100,333405.5490,772210.4586
