date,open,close,high,low,volume,amount,capital
2025-01-02,33.2900,32.4000,33.8900,31.0300,201678.2600,660340.4010,16370.4863
2025-01-03,32.5400,28.6200,32.7900,28.4200,195712.1500,590774.8520,16370.4863
2025-01-06,27.9400,27.4600,28.7000,26.9500,112433.6500,315470.0050,16370.4863
2025-01-07,27.8000,29.8300,29.9500,27.5900,171675.8100,500360.0270,16370.4863
2025-01-08,29.4700,29.5300,29.9500,27.7200,152420.3700,445043.4420,16370.4863
2025-01-09,29.4800,29.6900,30.1600,28.9400,125734.8000,375636.4910,16370.4863
2025-01-10,29.4700,27.9000,29.7600,27.8300,119210.3500,347231.3190,16370.4863
2025-01-13,26.8300,27.1600,27.7500,26.0600,95557.7300,259335.8770,16370.4863
2025-01-14,27.4900,29.3200,29.3200,27.3400,121213.1700,347850.2720,16370.4863
2025-01-15,29.3200,28.6100,29.5300,28.4200,87678.7700,255077.3570,16370.4863
2025-01-16,29.0700,29.4000,29.7900,28.6200,140157.3400,411570.0070,16370.4863
2025-01-17,29.0400,29.0100,29.6600,28.7200,94948.2100,277786.7440,16370.4863
2025-01-20,29.8200,31.4100,32.2900,29.7200,236018.3000,737497.0400,16370.4863
2025-01-21,31.5000,32.9300,33.2900,30.6000,237289.5200,760487.9360,16370.4863
2025-01-22,35.7700,37.6600,39.5200,35.7700,381731.5600,1456341.8330,16370.4863
2025-01-23,38.4100,34.4400,39.2500,34.4300,314591.4500,1158809.1330,16370.4863
2025-01-24,34.4400,35.2900,36.2500,33.9100,245180.8500,868839.5220,16370.4863
2025-01-27,33.8200,32.3200,34.6900,32.2400,170847.9300,571056.0980,16370.4863
2025-02-05,31.9600,31.3200,33.2300,31.1800,142229.0000,452933.0100,16370.4863
2025-02-06,31.7900,32.7200,32.7900,31.5000,148728.2300,482747.2710,16370.4863
2025-02-07,33.1900,34.0300,34.8600,33.1900,204986.4100,703729.7680,16370.4863
2025-02-10,33.6700,33.9700,34.2800,33.3900,140351.2000,477381.2700,16370.4863
2025-02-11,34.2300,35.4600,35.4600,33.4500,230988.1200,810355.1040,16370.4863
2025-02-12,34.7900,35.1800,35.1800,34.2800,164007.0300,572965.0890,16370.4863
2025-02-13,34.8800,33.4900,34.8800,33.4900,144079.3800,492882.9860,16370.4863
2025-02-14,33.4900,33.2700,34.0400,32.9700,96140.9800,323491.3750,16370.4863
2025-02-17,32.9900,34.7800,34.9600,32.9400,153995.5500,530769.1710,16370.4863
2025-02-18,34.3900,33.4600,34.9600,33.3400,114105.4300,391994.5550,16370.4863
2025-02-19,33.4700,35.5200,35.7600,33.3600,188965.1400,663056.8150,16370.4863
2025-02-20,35.9300,35.8600,36.9400,35.3800,232368.9700,843326.1200,16370.4863
2025-02-21,35.5900,36.7600,37.2700,35.5900,187017.5500,687344.7650,16370.4863
2025-02-24,36.3600,36.1400,36.3600,35.1300,122468.6800,440417.7050,16370.4863
2025-02-25,35.2600,35.8600,36.6500,34.9800,105247.6000,377939.1370,16370.4863
2025-02-26,36.5400,36.0500,37.1200,34.8600,176717.3600,645581.8220,16370.4863
2025-02-27,35.5600,35.2800,36.3500,34.9800,108638.8800,389090.4480,16370.4863
2025-02-28,35.0600,32.0900,35.1300,31.7500,125055.3100,415783.6920,16370.4863
2025-03-03,32.2400,31.7800,32.7900,31.1800,66668.5600,214743.5970,16370.4863
2025-03-04,31.1400,32.3000,32.3900,31.0000,50038.4400,161172.3890,16370.4863
2025-03-05,32.2000,33.1900,33.6200,32.0000,78742.5800,260960.7710,16370.4863
2025-03-06,33.2900,33.6500,34.2500,33.1600,73692.4000,249956.9910,16370.4863
2025-03-07,33.3600,33.9800,34.3600,32.8600,82022.3300,278404.7680,16370.4863
2025-03-10,33.6900,33.8800,34.1600,33.3400,55988.0000,189807.9740,16370.4863
2025-03-11,33.0700,33.6200,33.7900,32.8700,52085.4900,174734.0050,16370.4863
2025-03-12,33.8800,34.4400,34.7500,33.6800,75902.0000,261869.0930,16370.4863
2025-03-13,34.2800,33.1300,34.4800,32.6400,68158.0100,227874.4360,16370.4863
