date,open,close,high,low,volume,amount,capital
2025-01-02,7.0000,7.0200,7.2700,6.9400,68219.0100,48456.3550,34644.8044
2025-01-03,6.9900,6.6000,7.0200,6.6000,79353.0000,53622.1840,34644.8044
2025-01-06,6.6100,6.6300,6.7400,6.3900,38070.6600,25114.7350,34644.8044
2025-01-07,6.6300,6.9300,6.9300,6.5800,31994.9000,21530.8800,34644.8044
2025-01-08,6.9300,6.9300,7.0000,6.7000,38617.0000,26524.7250,34644.8044
2025-01-09,6.9100,7.1300,7.2000,6.8300,60121.0000,42760.3060,34644.8044
2025-01-10,7.0500,6.7700,7.0800,6.7600,39853.5000,27600.2130,34644.8044
2025-01-13,6.6900,6.8200,6.8300,6.5800,30449.6700,20435.4870,34644.8044
2025-01-14,6.8200,7.0300,7.0300,6.8100,38559.5700,26768.6520,34644.8044
2025-01-15,7.0200,7.0400,7.1500,6.9600,44835.0000,31659.6270,34644.8044
2025-01-16,7.0400,7.0800,7.1500,7.0000,42008.3400,29752.9100,34644.8044
2025-01-17,7.0100,7.1000,7.2300,6.9800,50815.3400,36213.3890,34644.8044
2025-01-20,7.1200,7.1900,7.3300,7.0300,65183.8500,47183.5700,34644.8044
2025-01-21,7.2500,7.1300,7.2800,7.1000,39040.5700,27908.2950,34644.8044
2025-01-22,7.0300,6.9700,7.1100,6.9400,36341.6700,25446.1750,34644.8044
2025-01-23,7.0100,6.9600,7.1700,6.9300,38623.4400,27229.9660,34644.8044
2025-01-24,6.9700,6.9000,7.1000,6.8300,47635.4400,32994.3830,34644.8044
2025-01-27,6.9500,6.9500,7.1300,6.9100,46303.1000,32535.4990,34644.8044
2025-02-05,7.0000,7.0000,7.0300,6.9000,38044.0000,26474.9300,34644.8044
2025-02-06,7.0200,7.0000,7.1200,6.9400,55139.0000,38602.5760,34644.8044
2025-02-07,7.0100,6.9500,7.1000,6.8600,83418.7200,58293.7350,34644.8044
2025-02-10,7.0000,6.9100,7.0200,6.8600,67229.0000,46460.4230,34644.8044
2025-02-11,6.9000,6.7300,6.9000,6.6900,66523.0000,44914.8300,34644.8044
2025-02-12,6.7300,6.7200,6.7600,6.5900,57191.8000,38186.8530,34644.8044
2025-02-13,6.7000,6.7100,6.7900,6.6800,40714.0000,27374.2240,34644.8044
2025-02-14,6.7100,6.6700,6.7100,6.6000,45372.0000,30120.3550,34644.8044
2025-02-17,6.6900,6.6600,6.6900,6.5500,40847.0000,27039.6310,34644.8044
2025-02-18,6.6400,6.5500,6.6900,6.5200,45332.0000,29936.6320,34644.8044
2025-02-19,6.5700,6.5700,6.5900,6.4800,34260.0000,22407.0980,34644.8044
2025-02-20,6.5800,6.5900,6.6600,6.5500,38783.0000,25642.8580,34644.8044
2025-02-21,6.6400,6.4900,6.6400,6.4600,41951.0200,27251.8380,34644.8044
2025-02-24,6.4800,6.6100,6.7500,6.4400,74180.5000,49316.4030,34644.8044
2025-02-25,6.6100,6.4500,6.6100,6.4300,51840.1600,33590.6000,34644.8044
