date,open,close,high,low,volume,amount,capital
2025-01-02,4.2700,4.3800,4.6500,4.2600,158617.0000,70664.1170,31994.8070
2025-01-03,4.1800,3.9400,4.3500,3.9400,192874.2000,77719.7130,31994.8070
2025-01-06,3.8200,3.7300,3.8500,3.5700,211406.0000,78538.7580,31994.8070
2025-01-07,3.8200,4.0100,4.0300,3.8000,183180.2000,71669.6490,31994.8070
2025-01-08,4.0700,3.9400,4.1300,3.8600,138651.0000,55174.5650,31994.8070
2025-01-09,4.0000,4.0100,4.0600,3.9200,111512.2000,44811.4830,31994.8070
2025-01-10,4.0500,3.8200,4.0700,3.8200,105612.0000,41486.1780,31994.8070
2025-01-13,3.7900,3.8200,3.8600,3.6400,77469.0000,29259.6700,31994.8070
2025-01-14,3.8600,4.1000,4.1400,3.8300,137056.8000,55249.8620,31994.8070
2025-01-15,4.1000,4.1800,4.2300,4.0400,122631.0000,50821.0780,31994.8070
2025-01-16,4.1800,4.1700,4.2900,4.1300,96923.8000,40726.2170,31994.8070
2025-01-17,4.1400,4.1000,4.2400,4.0300,100665.0000,41312.1750,31994.8070
2025-01-20,4.0400,4.0900,4.1500,3.9400,106343.2000,43223.4690,31994.8070
2025-01-21,4.1000,3.8700,4.1600,3.8200,145916.0000,57261.3720,31994.8070
2025-01-22,4.0400,3.8100,4.1200,3.7600,188368.0000,73121.7800,31994.8070
2025-01-23,3.8300,4.1900,4.1900,3.8300,146923.0000,59782.3150,31994.8070
2025-01-24,4.0800,3.9300,4.1900,3.8000,326378.4000,127192.4780,31994.8070
2025-01-27,3.9500,3.7300,4.0200,3.7300,186278.0000,72214.6530,31994.8070
2025-02-05,3.8000,4.1000,4.1000,3.8000,208464.0000,83283.2880,31994.8070
2025-02-06,4.0400,4.0500,4.1000,3.9200,288077.6000,115757.1750,31994.8070
2025-02-07,4.1000,4.2300,4.2700,4.0700,252479.2000,105495.6030,31994.8070
2025-02-10,4.2900,4.3700,4.3800,4.2000,170706.0000,73616.2880,31994.8070
2025-02-11,4.4000,4.3000,4.4200,4.2200,148934.6000,63613.1750,31994.8070
2025-02-12,4.2800,4.2800,4.3400,4.2100,125838.4000,53769.9930,31994.8070
2025-02-13,4.2900,4.2800,4.3300,4.2200,117266.0000,50284.5220,31994.8070
2025-02-14,4.2500,4.2100,4.3000,4.1800,109487.0000,46317.6480,31994.8070
2025-02-17,4.2300,4.3700,4.4700,4.2200,184418.4000,80398.7680,31994.8070
2025-02-18,4.3900,4.1600,4.4000,4.1500,168977.4000,71607.2170,31994.8070
2025-02-19,4.1900,4.2300,4.2400,4.1300,102547.8000,43020.6620,31994.8070
2025-02-20,4.2300,4.2800,4.3000,4.1900,102120.0000,43528.3480,31994.8070
2025-02-21,4.2800,4.1700,4.2900,4.0800,152051.6000,62973.4260,31994.8070
2025-02-24,4.2000,4.2100,4.2700,4.0600,158800.6000,66409.2460,31994.8070
2025-02-25,4.1500,4.1900,4.3200,4.1400,143744.6000,60954.2190,31994.8070
2025-02-26,4.2300,4.2400,4.3400,4.1900,107124.4000,45625.4750,31994.8070
2025-02-27,4.2400,4.3100,4.4500,4.1800,203514.0000,87672.9820,31994.8070
2025-02-28,4.3100,4.7400,4.7400,4.3100,157557.6000,73125.3320,31994.8070
