date,open,close,high,low,volume,amount,capital
2025-01-02,51.86,49.44,52.25,48.66,41157.29,208549.565,20028.1088
2025-01-03,49.43,47.8,50.12,47.7,34393.94,169498.256,20028.1088
2025-01-06,47.74,47.03,48.13,46.68,28846.1,137180.433,20028.1088
2025-01-07,47.25,48.99,49.09,47.02,28949.08,140590.578,20028.1088
2025-01-08,48.65,48.65,49.29,46.66,32451.0,157145.977,20028.1088
2025-01-09,48.22,48.54,49.51,48.22,23064.0,113550.241,20028.1088
2025-01-10,48.44,47.76,50.37,47.76,39759.0,196721.323,20028.1088
2025-01-13,47.14,48.46,48.89,46.69,22581.0,108703.532,20028.1088
2025-01-14,48.74,50.89,51.01,48.49,36738.0,184593.359,20028.1088
2025-01-15,50.95,50.07,51.13,49.96,28950.0,146910.17,20028.1088
2025-01-16,50.65,50.06,51.63,49.49,27136.0,137657.139,20028.1088
2025-01-17,49.75,50.42,51.48,49.44,33125.3,168015.267,20028.1088
2025-01-20,50.99,49.27,51.18,48.94,39400.0,197130.376,20028.1088
2025-01-21,49.46,49.19,49.79,48.11,51175.65,251085.684,20028.1088
2025-01-22,49.12,46.9,49.12,46.56,62199.0,295788.268,20028.1088
2025-01-23,47.63,47.15,48.9,47.15,48152.0,232701.004,20028.1088
2025-01-24,46.95,48.5,48.7,46.85,34746.0,168152.427,20028.1088
2025-01-27,49.14,47.83,49.23,47.78,31483.0,152716.828,20028.1088
2025-02-05,48.81,50.03,50.69,48.33,48012.51,239869.692,20028.1088
2025-02-06,49.72,52.66,53.01,49.41,72577.73,379471.486,20028.1088
2025-02-07,52.4,52.91,53.6,51.5,65596.65,348021.615,20028.1088
2025-02-10,52.91,54.8,55.01,52.44,63044.15,341067.105,20028.1088
2025-02-11,55.66,54.8,56.5,53.92,85091.0,472454.859,20028.1088
2025-02-12,54.72,56.75,56.84,54.23,75253.88,422000.869,20028.1088
2025-02-13,57.2,54.86,57.23,54.79,57369.57,320652.996,20028.1088
2025-02-14,54.59,55.89,57.03,53.91,60831.0,338963.876,20028.1088
2025-02-17,56.13,56.18,56.76,55.45,59199.19,333654.694,20028.1088
2025-02-18,55.88,54.85,58.36,54.51,79412.15,448986.157,20028.1088
2025-02-19,54.74,57.07,57.46,54.51,75005.06,424624.739,20028.1088
2025-02-20,57.09,55.93,57.5,55.43,55107.22,310950.421,20028.1088
2025-02-21,55.7,57.58,57.95,54.96,78324.2,447080.083,20028.1088
2025-02-24,57.33,58.19,59.02,56.5,81903.0,477258.145,20028.1088
2025-02-25,57.02,60.02,60.93,56.71,110602.88,657632.71,20028.1088
2025-02-26,60.35,59.82,61.18,58.73,79658.46,476533.209,20028.1088
2025-02-27,59.71,57.68,59.94,56.5,71083.55,414810.708,20028.1088
2025-02-28,57.02,53.53,57.5,53.42,53592.75,297061.914,20028.1088
2025-03-03,54.54,53.62,55.11,53.31,37927.18,206982.924,20028.1088
2025-03-04,52.72,57.48,58.39,52.7,82498.34,467681.975,20028.1088
2025-03-05,57.44,56.98,57.89,55.84,50199.0,286752.143,20028.1088
2025-03-06,57.2,58.02,59.68,56.95,68123.61,399289.046,20028.1088
2025-03-07,57.38,57.18,58.46,56.58,49094.0,283714.326,20028.1088
2025-03-10,56.8,56.31,57.31,55.71,34580.19,196111.209,20028.1088
2025-03-11,55.28,55.89,56.27,55.24,25527.4,142852.721,20028.1088
2025-03-12,56.36,55.05,56.65,55.02,36103.4,201606.882,20028.1088
2025-03-13,54.88,53.67,55.16,52.94,35426.15,191579.784,20028.1088
2025-03-14,53.67,54.32,54.57,52.99,31464.85,170834.352,20028.1088
2025-03-17,54.41,55.84,56.64,53.98,47130.0,262597.958,20028.1088
2025-03-18,55.51,55.51,56.87,55.23,34970.4,196372.634,20028.1088
2025-03-19,55.28,56.25,57.67,55.19,67131.69,382728.82,20028.1088
2025-03-20,56.04,55.66,56.87,55.47,42678.2,240227.855,20028.1088
2025-03-21,55.3,57.16,57.67,53.96,82368.2,464411.258,20028.1088
2025-03-24,57.14,55.81,57.38,54.02,50483.9,282676.172,20028.1088
2025-03-25,55.97,55.11,58.06,54.71,52924.15,300653.044,20028.1088
2025-03-26,55.01,53.9,55.01,53.69,40005.4,218294.41,20028.1088
2025-03-27,53.7,54.12,56.1,52.63,42521.4,232285.909,20028.1088
2025-03-28,55.65,54.69,58.32,54.61,52293.0,294864.165,20028.1088
2025-03-31,53.49,52.61,54.34,51.74,47511.4,252809.118,20028.1088
2025-04-01,52.61,52.41,53.31,51.9,26676.0,140901.451,20028.1088
2025-04-02,52.35,52.02,52.78,51.84,21398.32,112375.156,20028.1088
2025-04-03,51.41,51.93,53.32,51.33,28312.4,149209.31,20028.1088
2025-04-07,49.14,44.5,50.92,43.15,61073.6,289095.808,20028.1088
2025-04-08,45.36,46.66,47.92,45.36,54250.85,255086.173,20028.1088
2025-04-09,46.03,49.05,51.23,44.77,65672.11,319407.122,20028.1088
2025-04-10,49.75,49.48,50.94,49.47,44653.0,224775.308,20028.1088
2025-04-11,49.11,51.19,52.25,48.78,56551.0,289838.235,20028.1088
2025-04-14,51.91,51.23,52.22,50.84,38201.0,197165.587,20028.1088
2025-04-15,50.95,50.27,51.17,49.84,30693.0,155253.923,20028.1088
2025-04-16,50.0,49.68,50.74,48.94,24880.94,124575.075,20028.1088
2025-04-17,49.24,49.74,50.7,49.2,23718.99,119624.796,20028.1088
2025-04-18,49.44,48.7,49.82,48.6,21914.3,107942.32,20028.1088
2025-04-21,49.11,49.77,49.83,48.56,23286.9,115389.804,20028.1088
2025-04-22,49.71,49.86,50.46,49.19,25983.4,130062.601,20028.1088
2025-04-23,50.08,50.03,50.5,49.51,22636.0,113564.194,20028.1088
2025-04-24,49.99,48.99,49.99,48.68,20986.63,103844.846,20028.1088
2025-04-25,49.13,49.0,49.49,48.45,19117.0,94230.672,20028.1088
2025-04-28,48.85,47.95,49.42,47.79,21393.28,103537.312,20028.1088
2025-04-29,47.77,48.25,48.59,47.53,15940.88,77164.752,20028.1088
2025-04-30,48.46,49.07,49.61,48.33,24251.64,119758.479,20028.1088
2025-05-06,49.3,50.37,50.44,49.3,25180.0,126765.405,20028.1088
2025-05-07,51.03,50.36,51.49,49.93,26444.74,134380.167,20028.1088
2025-05-08,50.16,51.08,51.23,49.86,25624.39,130995.372,20028.1088
2025-05-09,50.92,50.04,50.96,49.85,21935.0,110847.22,20028.1088
2025-05-12,50.3,50.6,50.94,50.07,19891.82,100859.791,20028.1088
2025-05-13,51.23,50.04,51.23,50.01,19158.88,97237.958,20028.1088
2025-05-14,50.11,50.26,50.67,49.53,19448.95,97882.594,20028.1088
2025-05-15,50.08,48.7,50.09,48.55,22367.53,110450.094,20028.1088
2025-05-16,48.5,48.49,49.05,48.25,14345.33,70272.869,20028.1088
2025-05-19,48.74,48.81,49.34,48.2,13716.23,67254.059,20028.1088
2025-05-20,48.8,49.04,49.41,48.54,15284.83,75261.449,20028.1088
2025-05-21,48.93,48.7,49.32,48.34,16165.52,79177.677,20028.1088
2025-05-22,48.63,47.95,49.23,47.91,15600.25,75996.917,20028.1088
2025-05-23,48.04,47.12,48.4,47.0,17764.0,84865.953,20028.1088
2025-05-26,47.31,47.9,48.02,47.31,14745.22,70420.584,20028.1088
2025-05-27,47.9,47.56,47.99,47.23,11382.97,54073.792,20028.1088
2025-05-28,47.66,47.28,47.84,47.08,11319.0,53679.111,20028.1088
2025-05-29,52.33,56.74,56.74,52.33,182975.59,1003215.658,20028.1088
2025-05-30,56.55,54.9,56.55,53.82,154031.55,846376.232,20028.1088
2025-06-03,54.9,58.29,58.76,54.39,177902.58,1011264.363,20028.1088
2025-06-04,57.01,55.85,57.68,55.37,106469.28,597904.984,20028.1088
2025-06-05,55.36,55.17,55.83,54.04,82236.65,450602.676,20028.1088
2025-06-06,54.7,53.64,55.0,53.5,58717.18,316807.207,20028.1088
2025-06-09,53.64,53.91,54.1,53.38,42881.37,230767.795,20028.1088
2025-06-10,53.35,52.82,54.17,52.28,54611.8,288825.777,20028.1088
2025-06-11,52.55,52.64,53.26,52.52,32426.12,171137.872,20028.1088
2025-06-12,52.3,52.51,52.89,52.0,28954.68,151994.601,20028.1088
2025-06-13,52.02,50.93,52.88,50.8,43224.39,223364.756,20028.1088
2025-06-16,50.79,51.35,51.6,50.51,24230.3,124078.776,20028.1088
2025-06-17,51.35,51.78,51.89,51.0,28214.2,145319.809,20028.1088
2025-06-18,51.5,51.6,51.71,50.9,24738.81,127060.783,20028.1088
2025-06-19,51.44,50.72,51.95,50.55,30745.56,157608.635,20028.1088
2025-06-20,51.14,50.86,51.88,50.72,30481.06,155951.106,20028.1088
2025-06-23,50.51,53.05,53.58,49.55,68469.5,361234.722,20028.1088
2025-06-24,52.99,53.6,53.81,52.69,49326.02,263167.467,20028.1088
2025-06-25,53.53,53.88,54.06,53.01,48656.09,260962.214,20028.1088
2025-06-26,54.44,53.28,54.44,53.23,38585.4,207317.295,20028.1088
2025-06-27,54.05,52.86,54.13,52.82,37530.0,200306.933,20028.1088
2025-06-30,55.21,56.24,57.78,54.68,108045.76,605464.416,20028.1088
2025-07-01,56.25,55.7,57.05,55.51,74821.63,419901.431,20028.1088
2025-07-02,55.16,54.57,55.5,54.04,50770.92,277888.695,20028.1088
2025-07-03,54.4,53.43,54.65,53.0,54129.1,290082.912,20028.1088
2025-07-04,53.0,52.63,53.47,51.82,50205.05,263595.968,20028.1088
2025-07-07,52.38,52.66,52.89,52.32,20664.0,108700.213,20028.1088
2025-07-08,52.6,53.06,53.3,52.55,28261.8,150032.204,20028.1088
2025-07-09,52.95,52.61,53.6,52.57,27286.0,144387.156,20028.1088
2025-07-10,52.4,52.44,52.78,52.01,21078.03,110341.646,20028.1088
2025-07-11,52.51,53.49,53.88,52.22,43908.42,233792.764,20028.1088
2025-07-14,53.49,53.24,53.69,53.02,21589.02,114910.238,20028.1088
2025-07-15,53.25,53.04,53.6,52.35,28330.0,149993.613,20028.1088
2025-07-16,53.38,55.0,55.97,53.19,71663.03,391240.034,20028.1088
2025-07-17,55.28,56.2,56.3,54.4,57771.6,321833.041,20028.1088
2025-07-18,56.23,56.05,56.86,55.61,47316.04,265652.283,20028.1088
2025-07-21,56.0,55.95,56.39,55.43,33748.38,188502.284,20028.1088
2025-07-22,55.92,55.9,56.5,55.63,31441.39,176021.386,20028.1088
2025-07-23,55.9,55.9,56.49,55.57,32237.56,180763.656,20028.1088
2025-07-24,55.88,57.16,57.3,55.61,49835.86,283011.45,20028.1088
2025-07-25,57.16,57.79,57.9,56.82,39639.0,227190.511,20028.1088
2025-07-28,57.5,57.44,57.96,57.08,28972.52,166511.459,20028.1088
2025-07-29,57.18,61.91,62.99,57.18,119574.0,723154.378,20028.1088
2025-07-30,61.5,62.51,63.99,60.75,96381.32,601661.387,20028.1088
2025-07-31,62.74,63.01,65.97,62.5,106048.86,682257.305,20028.1088
2025-08-01,63.3,62.95,64.64,62.1,64289.61,405774.064,20028.1088
2025-08-04,62.3,62.95,63.42,61.88,56894.87,356287.17,20028.1088
2025-08-05,63.01,68.08,68.69,62.43,127634.93,847416.908,20028.1088
2025-08-06,71.0,73.77,76.66,68.84,179136.57,1297218.626,20028.1088
2025-08-07,73.0,76.33,78.5,71.33,162260.72,1212615.107,20028.1088
2025-08-08,75.36,72.49,75.56,71.85,110541.6,807682.748,20028.1088
2025-08-11,75.52,77.41,81.77,75.13,135746.44,1061098.486,20028.1088
2025-08-12,76.38,82.0,84.3,75.79,146055.38,1170526.539,20028.1088
2025-08-13,80.37,86.6,87.2,76.0,233541.52,1903772.095,20028.1088
2025-08-14,84.01,83.38,89.5,82.1,160760.42,1369183.675,20028.1088
2025-08-15,83.7,83.33,85.78,80.4,137532.36,1144170.888,20028.1088
2025-08-18,85.49,94.88,97.2,84.5,178650.25,1614905.354,20028.1088
2025-08-19,92.57,89.02,93.88,88.02,132357.56,1199004.499,20028.1088
2025-08-20,88.51,89.55,90.35,83.6,143476.19,1240770.163,20028.1088
2025-08-21,87.54,86.84,91.56,86.7,114985.81,1019421.377,20028.1088
2025-08-22,86.6,94.76,95.55,86.6,159427.51,1462331.686,20028.1088
2025-08-25,95.69,92.11,99.01,91.37,148560.37,1409173.301,20028.1088
2025-08-26,91.68,91.0,93.65,90.13,77620.81,712749.401,20028.1088
2025-08-27,90.91,87.44,93.95,87.08,89246.04,810713.604,20028.1088
2025-08-28,87.44,92.29,93.2,87.44,105611.51,955152.856,20028.1088
2025-08-29,91.15,90.63,92.29,88.12,64528.86,579602.425,20028.1088
2025-09-01,92.0,90.86,92.99,88.11,71285.54,642533.258,20028.1088
2025-09-02,90.48,85.5,90.48,84.77,72639.8,630006.761,20028.1088
2025-09-03,85.88,83.88,87.21,82.96,64247.54,545211.24,20028.1088
2025-09-04,83.96,77.81,84.9,76.0,92475.15,736937.704,20028.1088
2025-09-05,78.82,79.21,79.71,77.24,57243.64,448771.804,20028.1088
2025-09-08,79.0,79.19,80.25,77.56,50442.73,398672.603,20028.1088
2025-09-09,79.0,76.86,79.14,76.32,36408.74,282980.248,20028.1088
2025-09-10,77.07,77.5,80.59,76.2,56976.81,444360.291,20028.1088
2025-09-11,77.58,79.81,81.41,77.38,65944.03,525777.767,20028.1088
2025-09-12,79.81,79.7,80.9,78.6,57318.96,456356.264,20028.1088
2025-09-15,81.1,79.22,82.88,79.01,77730.92,622608.842,20028.1088
2025-09-16,78.2,78.16,80.15,78.01,52747.16,414982.304,20028.1088
2025-09-17,78.16,82.8,83.39,77.54,89312.3,723268.338,20028.1088
2025-09-18,82.62,84.76,90.0,81.8,125820.2,1078145.912,20028.1088
2025-09-19,85.31,81.0,86.58,80.88,77303.26,640863.737,20028.1088
2025-09-22,80.5,90.46,91.88,80.0,139292.6,1180331.483,20028.1088
2025-09-23,95.37,95.01,97.3,92.0,185818.6,1763032.209,20028.1088
2025-09-24,95.88,94.12,97.6,91.31,138152.8,1295983.493,20028.1088
2025-09-25,92.87,93.38,94.56,91.11,82219.18,763285.637,20028.1088
2025-09-26,92.79,90.01,95.36,89.0,94079.17,860792.982,20028.1088
2025-09-29,89.61,89.5,92.0,88.68,53030.07,475519.823,20028.1088
2025-09-30,91.42,89.05,91.88,88.5,58471.97,525436.932,20028.1088
2025-10-09,88.85,89.79,92.56,88.85,65034.52,590769.694,20028.1088
2025-10-10,88.8,85.45,89.43,84.56,73701.46,638600.428,20028.1088
2025-10-13,84.08,88.45,94.67,83.99,118872.72,1075166.296,20028.1088
2025-10-14,87.66,81.99,88.12,81.52,86734.46,735370.106,20028.1088
2025-10-15,81.3,82.51,84.99,80.01,53528.01,444261.488,20028.1088
