date,open,close,high,low,volume,amount,capital
2025-01-02,6.9800,6.7400,7.0300,6.6700,133865.1900,93333.1540,203607.7439
2025-01-03,6.7700,6.5900,6.8600,6.5400,132696.0000,89919.1840,203607.7439
2025-01-06,6.5300,6.6300,6.7200,6.4600,105585.0000,70883.7860,203607.7439
2025-01-07,6.6100,6.6500,6.6800,6.5300,80630.0000,54147.3970,203607.7439
2025-01-08,6.6500,6.4400,6.6500,6.3100,145418.0000,95253.8280,203607.7439
2025-01-09,6.4000,6.4400,6.4900,6.3600,81745.6300,53528.5830,203607.7439
2025-01-10,6.4500,6.3200,6.5200,6.3100,69963.0000,45502.5510,203607.7439
2025-01-13,6.3000,6.4200,6.4300,6.2900,76343.8800,49440.9250,203607.7439
2025-01-14,6.4800,6.6100,6.6400,6.4500,130782.8000,87184.3440,203607.7439
2025-01-15,6.6500,6.5200,6.6800,6.5000,107392.0000,71396.8330,201280.5813
2025-01-16,6.5700,6.7000,6.7400,6.5700,139236.8000,94155.1150,201280.5813
2025-01-17,6.6900,6.7200,6.7500,6.6200,86276.8600,58671.1640,201280.5813
2025-01-20,6.7500,6.6800,6.7800,6.6600,95092.4300,64754.5350,201280.5813
2025-01-21,6.6500,6.6000,6.6900,6.5500,93524.0600,62668.1890,201280.5813
2025-01-22,6.6000,6.7700,6.9100,6.5100,203779.2900,138286.5190,201280.5813
2025-01-23,6.7300,6.6800,6.8500,6.6800,187780.0000,129141.1550,201280.5813
2025-01-24,6.6500,6.7500,6.8500,6.6400,123188.7700,84183.7710,201280.5813
2025-01-27,6.8200,6.6800,6.8600,6.6800,98204.0000,67544.0170,201280.5813
2025-02-05,6.7100,6.6100,6.7500,6.5600,92632.0000,62545.9140,201280.5813
2025-02-06,6.6000,6.6800,6.6900,6.5400,95071.3700,63898.0970,201280.5813
2025-02-07,6.6800,6.8300,6.8900,6.6400,151256.0000,104658.1190,201280.5813
2025-02-10,6.8300,6.8100,6.8800,6.7800,109837.1000,75930.8790,201280.5813
2025-02-11,6.8100,6.7900,6.8400,6.7000,97224.3000,66652.4070,201280.5813
2025-02-12,6.7800,6.7900,6.8100,6.7000,91063.0000,62460.6000,201280.5813
2025-02-13,6.8000,6.7300,6.8500,6.7200,93209.0000,64150.9030,201280.5813
2025-02-14,6.7200,6.7100,6.7700,6.6500,97289.0000,66216.4640,201280.5813
2025-02-17,6.7200,6.6300,6.7500,6.6100,114712.6500,77490.9650,201280.5813
2025-02-18,6.6200,6.5600,6.6500,6.5300,101730.0000,68139.6390,201280.5813
2025-02-19,6.5600,6.6300,6.6700,6.5400,94085.3000,63118.7510,201280.5813
2025-02-20,6.6400,6.5900,6.6500,6.5500,87902.0000,58804.5310,201280.5813
2025-02-21,6.6100,6.6200,6.7000,6.5400,128366.0000,86429.7870,201280.5813
2025-02-24,6.6000,6.5900,6.6600,6.5700,96083.3500,64429.9110,199879.2238
2025-02-25,6.6000,6.6400,6.8400,6.5400,191982.8800,130329.5960,199879.2238
2025-02-26,6.6700,6.8700,6.9400,6.6400,271456.0700,188621.4750,199879.2238
2025-02-27,6.8900,7.0200,7.1000,6.8400,300100.6100,213462.8470,199879.2238
2025-02-28,6.9500,6.8100,6.9900,6.7800,222545.0000,155069.8280,199879.2238
2025-03-03,6.8600,7.0000,7.1200,6.8100,243557.1900,173641.1340,199879.2238
2025-03-04,6.9900,7.0700,7.0900,6.9300,178025.0100,126991.7410,199879.2238
2025-03-05,7.0800,7.0400,7.1100,6.9300,163283.0000,116097.8980,199879.2238
2025-03-06,7.0500,7.0100,7.0500,6.9500,169958.0000,120754.1180,199879.2238
2025-03-07,6.9900,7.1400,7.2400,6.9700,239642.6800,173757.9980,199879.2238
2025-03-10,7.1200,7.1300,7.1800,7.0400,161612.2500,116539.9290,199879.2238
2025-03-11,7.0700,7.2400,7.2400,6.9900,180830.2800,131140.0930,199879.2238
2025-03-12,7.2200,7.1400,7.2600,7.1100,142394.5800,103474.4980,199879.2238
2025-03-13,7.1500,7.0900,7.1800,7.0000,118696.3100,85092.2630,199879.2238
2025-03-14,7.0800,7.1700,7.1900,7.0500,170982.3100,123516.1530,199879.2238
2025-03-17,7.1900,7.1700,7.2800,7.1100,178209.0000,130228.3180,199879.2238
2025-03-18,7.1700,7.1800,7.1900,7.0900,116312.5500,84337.1110,199879.2238
2025-03-19,7.1900,7.0800,7.1900,7.0300,108072.8800,77620.1500,199879.2238
2025-03-20,7.0600,7.3000,7.4700,7.0400,279488.9000,206039.1540,199879.2238
2025-03-21,7.3800,7.3500,7.5500,7.2600,343053.1000,257606.7240,199879.2238
2025-03-24,7.3400,7.3100,7.4700,7.1200,265783.0000,196514.5130,199879.2238
2025-03-25,7.2700,7.1900,7.3500,7.1200,176284.0000,129213.0440,199879.2238
2025-03-26,7.2000,7.2300,7.4900,7.1900,229486.5400,170690.8060,199879.2238
2025-03-27,7.2000,7.1000,7.2000,7.0700,159553.0000,115296.8610,199879.2238
2025-03-28,7.0900,7.0000,7.1200,6.9500,134940.7200,96069.4460,199879.2238
2025-03-31,6.9400,6.9400,7.0200,6.8600,108168.0000,76219.5680,199879.2238
2025-04-01,6.9700,7.2400,7.2600,6.9700,233160.5600,169230.5510,199879.2238
2025-04-02,7.1700,7.1400,7.2300,7.0700,124478.4300,90501.6160,199879.2238
2025-04-03,7.1100,7.1200,7.1900,7.0500,120491.3800,87086.6490,199879.2238
2025-04-07,6.8300,6.4300,7.1200,6.4100,380220.9400,263351.8390,199879.2238
2025-04-08,6.5300,6.7900,6.9400,6.5300,299493.0000,206312.7830,199879.2238
2025-04-09,6.7700,6.8700,6.8900,6.3000,274957.0000,184160.5410,199879.2238
2025-04-10,6.9000,6.9500,7.3000,6.9000,257019.0000,185567.0820,199879.2238
2025-04-11,6.9000,6.9600,7.0500,6.8400,148347.0000,105057.3060,199879.2238
2025-04-14,7.0900,7.4500,7.4900,6.9600,452571.2500,334751.8920,199879.2238
2025-04-15,7.4900,7.1200,7.7800,7.0600,524231.0000,388884.1360,199879.2238
2025-04-16,7.1000,6.9300,7.1300,6.8400,208931.0000,147630.1560,199879.2238
2025-04-17,6.8900,6.9000,7.0000,6.8800,107454.0000,75785.2510,199879.2238
2025-04-18,6.9100,6.8600,6.9300,6.7900,89800.2000,62455.3120,199879.2238
2025-04-21,6.8300,7.0600,7.0900,6.8300,142281.8500,101140.3050,199879.2238
2025-04-22,7.0800,7.0700,7.0900,7.0000,96951.5100,69343.0730,199879.2238
2025-04-23,7.1000,7.2300,7.3400,7.1000,207910.3600,152740.6210,199879.2238
2025-04-24,7.1800,7.1400,7.2400,7.0600,137670.0000,99813.3160,199879.2238
2025-04-25,7.1400,7.1800,7.2900,7.1300,116868.0000,85406.4370,199879.2238
2025-04-28,7.1500,7.2000,7.2600,7.1300,98398.5200,71937.2210,199879.2238
2025-04-29,7.1400,7.2700,7.3500,7.1400,120082.0000,88651.6250,199879.2238
2025-04-30,7.2000,6.8900,7.2100,6.8700,270566.4500,191467.3440,199879.2238
2025-05-06,6.8900,6.9700,7.0300,6.8800,144374.0000,102412.3160,199879.2238
2025-05-07,7.0700,6.9900,7.0900,6.9500,109553.0000,77840.7910,199879.2238
2025-05-08,6.9900,6.9800,7.0200,6.9200,97903.0000,69378.4700,199879.2238
2025-05-09,6.9700,6.9300,7.0000,6.9000,82783.0000,58263.4870,199879.2238
2025-05-12,6.9900,7.0100,7.0100,6.9500,74482.0000,52827.6080,199879.2238
2025-05-13,7.0500,6.9900,7.0700,6.9500,87177.6600,61904.1590,199879.2238
2025-05-14,6.9900,7.0700,7.1000,6.9400,121200.6200,86417.6480,199879.2238
2025-05-15,7.0500,7.0700,7.1400,7.0300,87674.0000,63050.5230,199879.2238
2025-05-16,7.0600,7.1200,7.1700,7.0100,103618.4100,74893.0760,199879.2238
2025-05-19,7.1400,7.0700,7.1400,7.0000,92840.6800,66421.0260,199879.2238
2025-05-20,7.1300,7.1000,7.1400,7.0600,67306.0000,47915.5280,199879.2238
2025-05-21,7.1100,7.0500,7.1100,7.0000,73607.0000,52127.8720,199879.2238
2025-05-22,7.0500,6.9500,7.0600,6.9400,74205.3000,52031.9100,199879.2238
2025-05-23,6.9600,6.8800,7.0000,6.8800,62810.0000,43681.3460,199879.2238
2025-05-26,6.8800,6.9000,7.1000,6.7900,125535.0000,86927.0880,199879.2238
2025-05-27,6.8500,6.7800,6.8800,6.7500,93943.3600,63984.7790,199879.2238
2025-05-28,6.7800,6.8100,6.8400,6.7500,59734.0200,40743.3700,199879.2238
2025-05-29,6.8100,6.8800,6.9100,6.7700,76691.0000,52773.0340,199879.2238
2025-05-30,6.8700,6.8300,6.8700,6.7900,45720.0000,31323.5070,199879.2238
