date,open,close,high,low,volume,amount,capital
2025-01-02,5.66,5.46,5.73,5.42,113464.45,62852.857,711049.1694
2025-01-03,5.49,5.37,5.52,5.35,97860.03,53160.139,711049.1694
2025-01-06,5.35,5.39,5.43,5.29,76830.68,41252.04,711049.1694
2025-01-07,5.38,5.35,5.45,5.28,116260.17,62299.181,711049.1694
2025-01-08,5.32,5.17,5.36,5.11,208519.06,108204.887,711049.1694
2025-01-09,5.12,5.18,5.22,5.0,178359.0,91239.379,711049.1694
2025-01-10,5.23,4.94,5.27,4.94,215174.23,108436.693,711049.1694
2025-01-13,4.91,5.02,5.02,4.86,132373.91,65913.052,711049.1694
2025-01-14,5.0,5.08,5.09,4.99,154332.0,77922.508,711049.1694
2025-01-15,5.08,5.1,5.14,5.0,122494.7,62275.072,711049.1694
2025-01-16,5.16,5.15,5.24,5.1,107620.33,55611.085,711049.1694
2025-01-17,5.4,5.2,5.45,5.13,221887.49,115979.102,711049.1694
2025-01-20,5.25,5.27,5.42,5.2,248533.83,132342.232,711049.1694
2025-01-21,5.3,5.18,5.32,5.16,110833.57,57603.719,711049.1694
2025-01-22,5.14,5.2,5.22,5.09,92158.91,47616.698,711049.1694
2025-01-23,5.24,5.24,5.37,5.24,121127.68,64106.322,711049.1694
2025-01-24,5.28,5.18,5.31,5.15,160139.81,83303.481,711049.1694
2025-01-27,5.21,5.32,5.38,5.21,162737.39,86639.948,711049.1694
2025-02-05,5.35,5.48,5.5,5.25,215324.79,116346.627,711049.1694
2025-02-06,5.47,5.35,5.57,5.29,201978.3,108399.72,711049.1694
2025-02-07,5.35,5.52,5.53,5.32,198042.24,108306.442,711049.1694
2025-02-10,5.51,5.62,5.64,5.47,138247.82,77262.485,711049.1694
2025-02-11,5.62,5.55,5.64,5.48,105183.83,58227.877,711049.1694
2025-02-12,5.53,5.53,5.57,5.45,96006.0,52829.025,711049.1694
2025-02-13,5.52,5.61,5.68,5.51,124424.88,70020.496,711049.1694
2025-02-14,5.6,5.53,5.64,5.51,78915.2,43864.648,711049.1694
2025-02-17,5.58,5.56,5.6,5.46,95274.87,52811.757,711049.1694
2025-02-18,5.54,5.47,5.57,5.45,86912.86,47893.646,711049.1694
2025-02-19,5.47,5.48,5.51,5.43,60689.52,33176.687,711049.1694
2025-02-20,5.5,5.45,5.5,5.4,62985.62,34230.645,711049.1694
2025-02-21,5.45,5.39,5.48,5.36,103444.87,55738.369,711049.1694
2025-02-24,5.39,5.51,5.55,5.39,133728.55,73480.864,711049.1694
2025-02-25,5.47,5.49,5.56,5.43,101825.47,56042.128,711049.1694
2025-02-26,5.51,5.65,5.65,5.49,107177.82,60146.947,711049.1694
2025-02-27,5.64,5.65,5.73,5.59,84890.18,47894.648,711049.1694
2025-02-28,5.65,5.52,5.7,5.51,126609.75,70617.387,711049.1694
2025-03-03,5.53,5.56,5.62,5.5,90983.73,50728.356,711049.1694
2025-03-04,5.52,5.5,5.56,5.47,84568.0,46603.74,711049.1694
2025-03-05,5.51,5.52,5.55,5.42,78178.98,42826.836,711049.1694
2025-03-06,5.57,5.67,5.68,5.5,127169.86,71315.617,711049.1694
2025-03-07,5.66,5.62,5.69,5.58,82109.06,46312.418,711049.1694
2025-03-10,5.63,5.6,5.67,5.57,90545.0,50812.369,711049.1694
2025-03-11,5.55,5.55,5.59,5.49,97939.59,54036.518,711049.1694
2025-03-12,5.55,5.45,5.57,5.44,114432.82,62576.732,711049.1694
2025-03-13,5.45,5.48,5.48,5.43,86153.23,46974.117,711049.1694
2025-03-14,5.48,5.62,5.62,5.46,118543.46,65894.216,711049.1694
2025-03-17,5.64,5.8,5.84,5.62,163481.03,94197.356,711049.1694
2025-03-18,5.82,5.85,5.86,5.7,109560.0,63658.006,711049.1694
2025-03-19,5.82,5.76,5.92,5.74,101976.21,59228.704,711049.1694
2025-03-20,5.76,5.73,5.81,5.7,65298.22,37570.967,711049.1694
2025-03-21,5.73,5.73,5.85,5.71,111052.32,64170.988,711049.1694
2025-03-24,5.75,5.66,5.79,5.59,104260.0,59020.317,711049.1694
2025-03-25,5.65,5.67,5.71,5.6,70739.46,39959.614,711049.1694
2025-03-26,5.64,5.68,5.7,5.64,58507.97,33164.635,711049.1694
2025-03-27,5.66,5.6,5.75,5.57,122623.0,69311.853,711049.1694
2025-03-28,5.69,5.64,5.74,5.59,117103.05,66214.059,711049.1694
2025-03-31,5.62,5.55,5.67,5.54,115429.47,64734.751,711049.1694
2025-04-01,5.57,5.72,5.77,5.55,140234.05,79317.686,711049.1694
2025-04-02,5.71,5.6,5.72,5.59,114279.0,64531.192,711049.1694
2025-04-03,5.56,5.8,5.83,5.55,154692.02,88693.148,711049.1694
2025-04-07,5.68,5.26,5.69,5.22,222535.16,120672.335,711049.1694
2025-04-08,5.26,5.47,5.55,5.25,200640.54,108855.177,711049.1694
2025-04-09,5.4,5.62,5.65,5.32,176263.31,96581.179,711049.1694
2025-04-10,5.61,5.65,5.68,5.54,132882.4,74748.125,711049.1694
2025-04-11,5.62,5.53,5.63,5.52,113762.0,63233.805,711049.1694
2025-04-14,5.54,5.64,5.67,5.52,105462.23,59175.238,711049.1694
2025-04-15,5.65,5.57,5.65,5.51,97246.0,54085.794,711049.1694
