date,open,close,high,low,volume,amount,capital
2025-01-02,6.84,6.67,6.92,6.61,50819.0,34778.745,65790.0
2025-01-03,6.68,6.39,6.72,6.38,68318.6,45087.436,65790.0
2025-01-06,6.36,6.47,6.62,6.26,77557.22,50793.228,65790.0
2025-01-07,6.44,6.53,6.56,6.36,49999.99,32512.972,65790.0
2025-01-08,6.44,6.5,6.57,6.3,60519.2,39526.713,65790.0
2025-01-09,6.47,6.51,6.59,6.43,33422.2,22012.748,65790.0
2025-01-10,6.49,6.26,6.55,6.26,62028.0,39916.251,65790.0
2025-01-13,6.25,6.31,6.32,6.12,38881.6,24497.322,65790.0
2025-01-14,6.32,6.55,6.55,6.3,56914.0,37178.638,65790.0
2025-01-15,6.55,6.48,6.56,6.44,45542.46,29877.872,65790.0
2025-01-16,6.49,6.51,6.63,6.46,47004.0,31115.957,65790.0
2025-01-17,6.52,6.53,6.58,6.43,35877.0,23609.96,65790.0
2025-01-20,6.61,6.58,6.64,6.49,45009.2,29952.697,65790.0
2025-01-21,6.62,6.51,6.63,6.45,38679.0,25419.188,65790.0
2025-01-22,6.57,6.46,6.57,6.41,34003.0,22189.924,65790.0
2025-01-23,6.52,6.57,6.65,6.5,63672.0,42400.123,65790.0
2025-01-24,7.03,6.81,7.1,6.71,146139.0,101079.787,65790.0
2025-01-27,6.79,7.11,7.31,6.73,132885.08,95456.45,65790.0
2025-02-05,7.09,7.22,7.28,7.04,92089.5,66879.093,65790.0
2025-02-06,7.19,7.3,7.3,7.13,93499.63,68141.478,65790.0
2025-02-07,7.23,7.21,7.39,7.15,119333.33,87658.367,65790.0
2025-02-10,7.22,7.28,7.32,7.13,94507.3,69060.86,65790.0
2025-02-11,7.29,7.23,7.33,7.15,54580.26,39762.764,65790.0
2025-02-12,7.19,7.19,7.25,7.14,51303.0,37236.495,65790.0
2025-02-13,7.19,7.09,7.23,7.09,63490.0,45916.115,65790.0
2025-02-14,7.12,7.25,7.32,7.09,89345.0,65151.311,65790.0
2025-02-17,7.3,7.29,7.4,7.23,83074.01,61494.322,65790.0
2025-02-18,7.26,7.07,7.27,7.04,65279.3,47068.025,65790.0
2025-02-19,7.07,7.11,7.13,7.01,41835.0,29946.41,65790.0
2025-02-20,7.1,7.18,7.33,7.08,72774.0,53149.108,65790.0
2025-02-21,7.23,7.13,7.34,7.08,65215.41,47115.595,65790.0
2025-02-24,7.12,7.12,7.16,7.05,72443.48,52035.626,65790.0
2025-02-25,7.07,7.05,7.15,7.02,46101.0,32974.044,65790.0
2025-02-26,7.08,7.11,7.11,7.01,56840.24,40588.827,65790.0
2025-02-27,7.1,7.1,7.15,7.0,65748.24,46987.764,65790.0
2025-02-28,7.1,6.91,7.13,6.9,72760.24,51447.27,65790.0
2025-03-03,6.95,7.02,7.1,6.93,54632.24,38862.355,65790.0
2025-03-04,7.0,7.13,7.14,6.96,55886.0,40013.24,65790.0
2025-03-05,7.14,6.96,7.16,6.92,80662.42,56894.771,65790.0
2025-03-06,7.01,7.05,7.06,6.93,58277.0,41285.104,65790.0
2025-03-07,7.02,7.0,7.08,6.95,62032.0,43984.34,65790.0
2025-03-10,7.04,7.04,7.11,6.97,57811.0,41068.802,65790.0
2025-03-11,6.98,7.04,7.06,6.93,57924.0,40926.122,65790.0
2025-03-12,7.04,6.96,7.07,6.94,67889.0,47856.799,65790.0
2025-03-13,6.93,6.97,6.99,6.85,71356.0,49808.413,65790.0
2025-03-14,6.97,7.12,7.12,6.96,93444.5,66482.693,65790.0
2025-03-17,7.18,7.16,7.2,7.07,68346.0,49355.635,65790.0
2025-03-18,7.15,7.2,7.2,7.11,57268.35,41493.459,65790.0
2025-03-19,7.18,7.2,7.31,7.15,62276.65,45406.776,65790.0
2025-03-20,7.21,7.19,7.21,7.12,54086.0,39171.733,65790.0
2025-03-21,7.18,7.07,7.19,7.03,52290.0,37551.648,65790.0
2025-03-24,7.02,6.69,7.04,6.58,102690.0,70545.136,65790.0
2025-03-25,6.69,6.78,6.81,6.58,72250.0,48864.61,65790.0
2025-03-26,6.79,6.98,7.11,6.75,89984.8,63332.873,65790.0
2025-03-27,6.94,7.02,7.07,6.84,55472.25,39099.551,65790.0
2025-03-28,6.98,6.98,7.13,6.97,61521.5,43740.346,65790.0
2025-03-31,6.97,6.77,6.97,6.67,63754.0,43779.383,65790.0
2025-04-01,6.76,7.01,7.12,6.76,89626.0,63550.033,65790.0
2025-04-02,7.02,6.98,7.04,6.95,44870.0,31666.082,65790.0
2025-04-03,7.03,7.68,7.68,6.96,267215.3,203411.925,65790.0
2025-04-07,7.48,7.38,7.9,7.15,592485.14,450764.162,65790.0
2025-04-08,7.38,7.86,7.93,7.3,544334.3,418195.098,65790.0
2025-04-09,7.52,7.56,7.74,7.07,483959.61,357502.789,65790.0
2025-04-10,7.39,7.55,7.86,7.38,412962.63,318156.518,65790.0
2025-04-11,7.43,7.72,7.75,7.35,382901.54,292107.033,65566.22
2025-04-14,7.72,7.68,7.87,7.62,327526.23,255529.372,65566.22
2025-04-15,7.6,7.46,7.61,7.39,216157.79,163375.703,65566.22
2025-04-16,7.51,7.21,7.52,7.1,244780.0,179082.587,65566.22
2025-04-17,7.16,7.25,7.29,7.05,162100.02,117495.265,65566.22
2025-04-18,7.24,6.87,7.25,6.81,210014.75,147885.733,65566.22
2025-04-21,6.74,6.94,6.98,6.74,104282.5,72783.453,65566.22
2025-04-22,6.94,7.04,7.28,6.92,151107.16,107874.037,65566.22
2025-04-23,7.02,6.9,7.07,6.86,164670.74,115466.573,65566.22
2025-04-24,6.85,6.82,6.94,6.81,84762.3,58767.088,65566.22
2025-04-25,6.79,6.84,6.88,6.78,75493.0,52091.015,65566.22
2025-04-28,6.81,6.64,6.87,6.63,79764.0,53921.24,65566.22
2025-04-29,6.61,6.7,6.72,6.58,46871.8,31632.763,65566.22
2025-04-30,6.7,6.75,6.81,6.68,52468.44,35859.56,65566.22
2025-05-06,6.8,6.86,6.89,6.76,83061.5,57255.779,65566.22
2025-05-07,6.91,6.82,6.94,6.74,134174.3,92497.981,65566.22
2025-05-08,6.77,6.77,6.86,6.72,149337.0,102454.951,65566.22
2025-05-09,6.76,6.85,6.85,6.69,111030.0,75993.803,65566.22
2025-05-12,6.84,6.86,6.9,6.75,94370.3,65181.07,65566.22
2025-05-13,6.9,6.9,6.96,6.83,130420.1,90816.3,65566.22
2025-05-14,6.88,6.89,6.92,6.81,88916.02,61573.926,65566.22
2025-05-15,6.88,6.84,6.93,6.8,146146.17,101312.043,65566.22
2025-05-16,6.8,6.8,6.85,6.73,80200.0,54980.244,65566.22
2025-05-19,6.8,6.89,6.89,6.73,88570.25,60919.082,65566.22
2025-05-20,6.89,7.15,7.24,6.85,262684.25,187994.592,65566.22
2025-05-21,7.12,7.07,7.18,7.03,128718.0,92107.656,65566.22
2025-05-22,7.05,6.92,7.07,6.91,98568.49,69354.041,65566.22
2025-05-23,6.91,6.87,7.02,6.86,104230.63,73042.375,65566.22
2025-05-26,6.87,6.94,7.01,6.8,112943.28,78747.313,65566.22
2025-05-27,6.91,7.04,7.06,6.88,111839.0,79005.168,65566.22
2025-05-28,7.04,6.97,7.07,6.96,76068.0,53800.712,65566.22
2025-05-29,6.97,7.05,7.07,6.92,101997.75,72450.787,65566.22
2025-05-30,7.05,7.08,7.1,7.02,105375.0,75198.677,65566.22
2025-06-03,7.07,7.21,7.25,7.05,145651.0,105768.713,65566.22
2025-06-04,7.21,7.21,7.23,7.12,98216.66,71380.516,65566.22
2025-06-05,7.22,7.24,7.3,7.18,117393.66,86013.234,65566.22
2025-06-06,7.22,7.18,7.27,7.13,101036.0,73295.646,65566.22
2025-06-09,7.22,7.33,7.5,7.2,149711.98,111347.668,65566.22
2025-06-10,7.33,7.37,7.5,7.27,162550.15,121464.97,65566.22
2025-06-11,7.38,7.4,7.47,7.32,110398.0,82528.235,65566.22
2025-06-12,7.42,7.39,7.45,7.35,85794.0,64066.57,65566.22
2025-06-13,7.37,7.65,7.86,7.27,404721.0,309636.482,65566.22
2025-06-16,7.63,7.55,7.64,7.43,159996.29,121609.504,65566.22
2025-06-17,7.53,7.49,7.66,7.43,128143.72,97458.25,65566.22
2025-06-18,7.44,7.35,7.47,7.31,86014.0,64052.955,65566.22
2025-06-19,7.35,7.26,7.4,7.2,80771.0,59482.657,65566.22
2025-06-20,7.26,7.26,7.3,7.2,63160.13,46283.747,65566.22
2025-06-23,7.22,7.35,7.39,7.21,68240.0,50425.542,65566.22
2025-06-24,7.38,7.44,7.47,7.33,82055.72,61409.837,65566.22
2025-06-25,7.43,7.39,7.5,7.33,79429.0,59264.945,65566.22
2025-06-26,7.42,7.36,7.59,7.34,119175.0,89362.669,65566.22
2025-06-27,7.38,7.36,7.41,7.31,71655.0,53221.835,65566.22
2025-06-30,7.36,7.36,7.38,7.3,51537.0,38241.254,65566.22
2025-07-01,7.39,7.37,7.42,7.33,51176.0,38127.028,65566.22
2025-07-02,7.37,7.38,7.42,7.33,72119.0,53781.657,65566.22
2025-07-03,7.37,7.42,7.44,7.37,55652.71,41646.764,65566.22
2025-07-04,7.41,7.49,7.65,7.41,151575.0,115597.699,65566.22
2025-07-07,7.47,7.51,7.59,7.43,79092.0,60128.186,65566.22
2025-07-08,7.51,7.52,7.56,7.47,72706.0,55193.463,65566.22
2025-07-09,7.55,7.5,7.57,7.47,74037.0,56211.479,65566.22
2025-07-10,7.51,7.59,7.59,7.49,72434.0,55293.688,65566.22
2025-07-11,7.58,7.55,7.65,7.52,69697.0,53284.864,65566.22
2025-07-14,7.56,7.54,7.62,7.5,80475.3,61408.76,65566.22
2025-07-15,7.54,7.39,7.54,7.32,82586.46,61133.9,65566.22
2025-07-16,7.38,7.56,7.57,7.36,79739.0,59693.039,65566.22
2025-07-17,7.56,7.61,7.63,7.52,73602.1,55852.057,65566.22
2025-07-18,7.65,7.6,7.65,7.51,66244.54,50020.604,65566.22
2025-07-21,7.6,7.61,7.65,7.57,80910.0,61565.251,65566.22
2025-07-22,7.62,7.59,7.62,7.54,75739.0,57343.464,65566.22
2025-07-23,7.56,7.5,7.66,7.47,87756.0,66396.8,65566.22
2025-07-24,7.48,7.63,7.65,7.45,105118.3,79549.498,65566.22
2025-07-25,7.64,7.66,7.73,7.62,96936.82,74425.014,65566.22
2025-07-28,7.7,7.66,7.74,7.64,77250.31,59334.924,65566.22
2025-07-29,7.65,7.57,7.69,7.49,92994.0,70165.478,65566.22
2025-07-30,7.55,7.57,7.63,7.49,82725.3,62622.294,65566.22
2025-07-31,7.55,7.41,7.61,7.39,82833.0,62154.271,65566.22
2025-08-01,7.44,7.65,7.73,7.41,172037.0,131672.216,65566.22
2025-08-04,7.6,7.64,7.65,7.45,93947.0,70902.976,65566.22
2025-08-05,7.63,7.67,7.74,7.6,75938.26,58232.012,65566.22
2025-08-06,7.67,7.58,7.81,7.55,94219.5,71686.462,65566.22
2025-08-07,7.58,7.51,7.65,7.49,130701.75,98879.099,65566.22
2025-08-08,7.51,7.6,7.71,7.43,162026.75,123138.432,65566.22
