date,open,close,high,low,volume,amount,capital
2025-01-02,4.8600,4.8900,5.0300,4.8200,31720.8300,15757.3080,44000.0000
2025-01-03,4.8900,4.6700,4.9300,4.6400,30380.4600,14539.5550,44000.0000
2025-01-06,4.6500,4.6400,4.7300,4.4500,27833.1800,12936.4730,44000.0000
2025-01-07,4.6400,4.7000,4.7100,4.6000,19350.1800,9112.4390,44000.0000
2025-01-08,4.6800,4.7100,4.7400,4.5600,24543.1800,11561.3440,44000.0000
2025-01-09,4.6700,4.7100,4.7400,4.6600,23175.0000,11013.9420,44000.0000
2025-01-10,4.6900,4.5300,4.7400,4.5200,23486.0000,10970.5830,44000.0000
2025-01-13,4.5300,4.5700,4.6300,4.4100,28942.0000,13238.2060,44000.0000
2025-01-14,4.6100,4.8000,4.8100,4.5700,36022.4500,17247.5190,44000.0000
2025-01-15,4.7900,4.8400,4.8900,4.7900,27380.9900,13367.1760,44000.0000
2025-01-16,4.8400,4.8500,4.9200,4.8100,23028.0000,11297.3990,44000.0000
2025-01-17,4.8500,4.7800,4.8600,4.7600,26028.0000,12569.9070,44000.0000
2025-01-20,4.8000,5.0300,5.0300,4.7700,43531.0000,21700.7560,44000.0000
2025-01-21,5.0300,5.0300,5.0500,4.9200,28964.0000,14555.9200,44000.0000
2025-01-22,4.9700,5.0600,5.1100,4.9000,26429.0000,13375.7220,44000.0000
2025-01-23,5.1300,5.1400,5.4800,5.0400,61733.6300,32296.7830,44000.0000
2025-01-24,5.0900,5.2700,5.4400,5.0600,68634.0900,36106.7090,44000.0000
2025-01-27,5.2100,5.1400,5.2600,5.1300,36086.4600,18876.0960,44000.0000
2025-02-05,5.1400,5.0700,5.2100,5.0100,31592.1900,16127.9460,44000.0000
2025-02-06,5.0700,5.5700,5.5700,5.0200,95237.1400,52212.0370,44000.0000
2025-02-07,6.1100,5.6300,6.1300,5.5700,311728.0000,187439.6180,44000.0000
2025-02-10,5.3800,5.4500,5.5300,5.3000,249046.6500,135039.9550,44000.0000
2025-02-11,5.3600,5.2200,5.4100,5.2200,149773.2900,79503.3010,44000.0000
2025-02-12,5.2200,5.2700,5.3000,5.1900,104364.6400,55185.6960,44000.0000
2025-02-13,5.2700,5.1600,5.2800,5.1600,74908.0000,39258.2920,44000.0000
2025-02-14,5.1800,5.1800,5.1900,5.1200,52459.3000,27291.3140,44000.0000
2025-02-17,5.1900,5.2700,5.2800,5.1600,64137.9400,33837.1510,44000.0000
2025-02-18,5.2800,5.2000,5.2900,5.1700,55413.0000,29214.8470,44000.0000
2025-02-19,5.2000,5.2500,5.2600,5.1800,49989.3000,26331.4480,44000.0000
2025-02-20,5.2400,5.2300,5.2800,5.2200,49426.0000,26147.0080,44000.0000
